,u,P/p,S/s,A/a
Jazz,0.527,0.277,0.081,0.115
Choro,0.502,0.351,0.096,0.051
Samba,0.472,0.241,0.043,0.245
Tom Jobim,0.584,0.207,0.043,0.166
Ivan Lins,0.470,0.183,0.093,0.253
Chico Buarque,0.517,0.195,0.047,0.241
Edu Lobo,0.490,0.255,0.055,0.200
Caetano Veloso,0.522,0.270,0.032,0.177
Djavan,0.453,0.293,0.060,0.194
João Bosco,0.483,0.206,0.057,0.254
Milton Nascimento,0.422,0.149,0.032,0.397
Gilberto Gil,0.473,0.278,0.024,0.224
Rita Lee,0.473,0.195,0.033,0.299
Carlos Lyra,0.556,0.247,0.047,0.150
Dori Caymmmi,0.507,0.212,0.045,0.236
Cartola,0.549,0.188,0.042,0.221
Gonzaguinha,0.523,0.221,0.029,0.227
