,1,2,3,4,5,6,7,8,9,10,11,12
Jazz,0.598,0.000,0.000,0.003,0.031,0.000,0.320,0.000,0.033,0.015,0.000,0.000
Choro,0.316,0.000,0.001,0.211,0.009,0.000,0.210,0.000,0.009,0.243,0.002,0.000
Samba,0.240,0.000,0.000,0.278,0.007,0.000,0.129,0.000,0.007,0.340,0.000,0.000
Tom Jobim,0.305,0.000,0.000,0.161,0.070,0.000,0.174,0.000,0.071,0.219,0.000,0.000
Ivan Lins,0.381,0.000,0.000,0.065,0.108,0.000,0.237,0.000,0.110,0.099,0.000,0.000
Chico Buarque,0.302,0.000,0.000,0.173,0.033,0.000,0.245,0.000,0.033,0.214,0.000,0.000
Edu Lobo,0.397,0.000,0.000,0.094,0.055,0.000,0.260,0.000,0.055,0.139,0.000,0.000
Caetano Veloso,0.374,0.000,0.000,0.110,0.047,0.000,0.278,0.000,0.046,0.145,0.000,0.000
Djavan,0.291,0.000,0.000,0.177,0.046,0.000,0.236,0.000,0.045,0.205,0.000,0.000
João Bosco,0.305,0.000,0.000,0.172,0.067,0.000,0.179,0.000,0.071,0.205,0.000,0.000
Milton Nascimento,0.465,0.000,0.000,0.035,0.062,0.000,0.328,0.000,0.062,0.048,0.001,0.000
Gilberto Gil,0.313,0.000,0.000,0.186,0.020,0.000,0.210,0.000,0.036,0.234,0.000,0.000
Rita Lee,0.434,0.000,0.000,0.026,0.011,0.000,0.483,0.000,0.011,0.034,0.000,0.000
Carlos Lyra,0.265,0.000,0.000,0.205,0.048,0.000,0.161,0.000,0.049,0.272,0.000,0.000
Dori Caymmmi,0.388,0.000,0.000,0.098,0.054,0.000,0.294,0.000,0.054,0.113,0.000,0.000
Cartola,0.257,0.000,0.000,0.207,0.071,0.000,0.149,0.000,0.071,0.244,0.000,0.000
Gonzaguinha,0.330,0.000,0.000,0.142,0.067,0.000,0.208,0.000,0.072,0.181,0.000,0.000
