,b,j,e,a,d,k,s,p,l,o,f,v,t,g,q,r,u,n,h,z,x,c,y,m,i,w
Jazz,0.449,0.227,0.144,0.103,0.020,0.017,0.014,0.007,0.005,0.004,0.004,0.003,0.002,0.001,0.001,,,,,,,,,,,
Choro,0.243,0.087,0.032,0.020,0.000,0.000,0.017,0.022,0.034,0.001,,0.249,0.014,0.026,0.007,0.086,0.083,0.063,0.011,0.002,0.002,0.001,0.001,0.001,,
Samba,0.106,0.085,0.047,0.060,,,0.010,0.024,0.062,0.001,0.000,0.021,0.031,0.071,0.007,0.106,0.013,0.286,0.006,,,0.057,,0.006,0.000,
Tom Jobim,0.209,0.107,0.047,0.041,0.042,0.032,0.062,0.041,0.011,0.020,0.014,0.059,0.026,0.058,0.001,0.035,0.030,0.133,0.005,,,0.025,,0.001,0.001,
Ivan Lins,0.235,0.165,0.114,0.057,0.076,0.066,0.053,0.026,0.016,0.036,0.015,0.015,0.020,0.016,0.002,0.013,0.013,0.035,0.002,,,0.010,,0.012,0.002,
Chico Buarque,0.154,0.194,0.100,0.026,0.019,0.017,0.022,0.024,0.024,0.018,0.003,0.040,0.043,0.041,0.011,0.041,0.023,0.154,0.003,,,0.032,,0.012,0.001,
Edu Lobo,0.246,0.219,0.112,0.038,0.030,0.025,0.041,0.013,0.039,0.023,0.005,0.051,0.017,0.031,0.009,0.030,0.020,0.039,0.004,0.001,,0.003,,0.005,,
Caetano Veloso,0.190,0.233,0.116,0.039,0.037,0.029,0.039,0.021,0.034,0.006,0.007,0.055,0.017,0.038,0.011,0.039,0.021,0.029,0.008,,,0.016,,0.014,0.002,
Djavan,0.150,0.149,0.097,0.034,0.011,0.008,0.039,0.038,0.021,0.023,0.008,0.033,0.029,0.073,0.019,0.034,0.031,0.104,0.025,,0.000,0.046,,0.021,0.007,0.000
João Bosco,0.167,0.151,0.077,0.055,0.041,0.038,0.040,0.012,0.017,0.025,0.013,0.012,0.014,0.066,0.003,0.046,0.016,0.151,0.006,,,0.040,,0.006,0.003,
Milton Nascimento,0.302,0.251,0.185,0.060,0.018,0.017,0.026,0.005,0.007,0.030,0.014,0.001,0.009,0.013,0.005,0.018,0.001,0.013,0.003,,,0.002,,0.005,0.014,0.001
Gilberto Gil,0.141,0.177,0.062,0.013,0.027,0.044,0.006,0.028,0.028,0.005,0.013,0.048,0.038,0.065,0.012,0.075,0.015,0.143,0.021,,,0.024,,0.013,,
Rita Lee,0.181,0.425,0.271,0.031,0.013,0.011,0.004,0.005,0.004,0.001,0.002,0.009,0.007,0.005,0.003,0.008,0.008,0.004,0.002,,,0.003,,0.001,,
Carlos Lyra,0.150,0.114,0.062,0.031,0.028,0.021,0.037,0.030,0.035,0.021,0.009,0.031,0.018,0.082,,0.059,0.026,0.202,0.004,,,0.037,,0.004,,
Dori Caymmmi,0.212,0.288,0.144,0.010,0.034,0.033,0.044,0.016,0.009,0.010,0.001,0.001,0.016,0.019,0.001,0.038,0.004,0.086,,,,0.016,,0.017,,
Cartola,0.135,0.106,0.103,0.053,0.060,0.043,0.044,0.008,0.017,0.013,0.017,0.014,0.001,0.062,0.002,0.060,0.012,0.228,0.002,,,0.023,,,,
Gonzaguinha,0.197,0.158,0.119,0.030,0.042,0.046,0.042,0.016,0.017,0.024,0.008,0.020,0.012,0.047,0.007,0.048,0.014,0.128,0.003,,,0.016,,0.002,0.003,
