,MED,OUT,NOT,ADJ
Jazz,0.521,0.052,0.167,0.260
Choro,0.330,,0.602,0.068
Samba,,,1.000,
Tom Jobim,0.425,0.069,0.253,0.253
Ivan Lins,0.446,0.096,0.265,0.193
Chico Buarque,0.200,0.133,0.556,0.111
Edu Lobo,0.351,0.014,0.257,0.378
Caetano Veloso,0.240,0.080,0.360,0.320
Djavan,0.302,0.140,0.302,0.256
João Bosco,0.179,0.231,0.538,0.051
Milton Nascimento,0.064,0.128,0.474,0.333
Gilberto Gil,0.162,0.044,0.500,0.294
Rita Lee,0.103,0.051,0.513,0.333
Carlos Lyra,0.425,0.125,0.350,0.100
Dori Caymmi,0.224,0.069,0.397,0.310
Cartola,0.643,0.071,0.214,0.071
Gonzaguinha,0.333,,0.667,
