,PRI,SEC,DS,LOC,DIM,SUBV,sd,RA,EC2,NPS,aSUBV,?,Unknown,aNP,DT
Jazz,0.406,0.203,0.168,0.081,0.018,0.015,0.054,0.037,0.009,0.001,0.001,0.007,,,
Choro,0.551,0.129,0.227,0.003,0.035,0.001,0.031,0.020,,,,0.004,,,
Samba,0.628,0.144,0.175,0.012,0.024,0.001,0.014,0.002,,,,,,,
Tom Jobim,0.375,0.144,0.203,0.048,0.041,0.020,0.069,0.074,0.015,0.001,0.003,0.005,0.001,0.000,
Ivan Lins,0.451,0.162,0.213,0.059,0.004,0.002,0.049,0.048,0.004,0.000,0.001,0.003,0.002,0.001,
Chico Buarque,0.396,0.134,0.252,0.062,0.028,0.003,0.047,0.046,0.016,0.001,0.005,0.008,,0.001,
Edu Lobo,0.442,0.153,0.184,0.034,0.025,0.016,0.037,0.069,0.020,0.009,0.003,0.007,,,
Caetano Veloso,0.507,0.148,0.161,0.066,0.023,0.005,0.041,0.032,0.002,0.004,0.002,0.004,,0.001,0.003
Djavan,0.399,0.162,0.175,0.066,0.026,0.008,0.057,0.065,0.011,0.001,0.004,0.015,,,0.011
João Bosco,0.445,0.165,0.216,0.037,0.023,0.010,0.036,0.046,0.012,0.001,0.001,0.007,,,0.001
Milton Nascimento,0.559,0.129,0.072,0.008,0.004,0.004,0.041,0.115,0.027,0.004,0.001,0.034,,0.001,0.001
Gilberto Gil,0.486,0.109,0.180,0.056,0.012,0.006,0.028,0.093,0.007,0.001,0.005,0.009,,0.001,0.006
Rita Lee,0.560,0.137,0.131,0.026,0.012,,0.035,0.085,0.002,,0.002,0.004,0.001,0.002,0.003
Carlos Lyra,0.406,0.175,0.164,0.073,0.043,0.009,0.049,0.042,0.014,,0.009,0.007,0.001,,0.008
Dori Caymmi,0.552,0.132,0.153,0.012,0.010,0.001,0.038,0.066,0.009,0.007,0.001,0.014,,0.001,0.005
Cartola,0.443,0.226,0.185,0.074,0.046,,0.017,0.004,0.001,,,0.002,0.001,,
Gonzaguinha,0.465,0.187,0.171,0.071,0.004,0.007,0.027,0.039,0.018,0.003,0.002,0.004,0.001,,
