,I,II,III,IV,V,VI,VII
Jazz,0.198,0.136,0.026,0.047,0.161,0.041,
Choro,0.278,0.080,0.017,0.064,0.209,0.031,0.000
Samba,0.285,0.112,0.014,0.060,0.284,0.013,0.006
Tom Jobim,0.203,0.092,0.024,0.055,0.117,0.028,
Ivan Lins,0.209,0.070,0.018,0.070,0.172,0.074,
Chico Buarque,0.185,0.065,0.023,0.043,0.168,0.046,
Edu Lobo,0.228,0.076,0.026,0.057,0.158,0.050,0.002
Caetano Veloso,0.233,0.090,0.014,0.092,0.182,0.044,
Djavan,0.197,0.078,0.033,0.063,0.139,0.049,0.002
João Bosco,0.243,0.082,0.024,0.064,0.137,0.059,
Milton Nascimento,0.354,0.034,0.029,0.095,0.111,0.066,
Gilberto Gil,0.245,0.057,0.017,0.079,0.161,0.034,0.001
Rita Lee,0.248,0.073,0.020,0.102,0.212,0.044,
Carlos Lyra,0.214,0.115,0.019,0.036,0.156,0.040,0.001
Dori Caymmi,0.255,0.057,0.020,0.083,0.215,0.055,0.001
Cartola,0.197,0.147,0.024,0.048,0.199,0.055,
Gonzaguinha,0.205,0.091,0.045,0.097,0.164,0.051,
