,V/II,V/III,V/IV,V/V,V/VI
Jazz,0.037,0.018,0.035,0.031,0.020
Choro,0.053,0.019,0.045,0.066,0.035
Samba,0.060,0.009,0.048,0.027,0.012
Tom Jobim,0.052,0.016,0.029,0.056,0.031
Ivan Lins,0.042,0.018,0.038,0.056,0.038
Chico Buarque,0.057,0.035,0.047,0.053,0.039
Edu Lobo,0.034,0.013,0.032,0.046,0.026
Caetano Veloso,0.040,0.007,0.031,0.040,0.025
Djavan,0.052,0.008,0.018,0.047,0.021
João Bosco,0.062,0.012,0.033,0.044,0.034
Milton Nascimento,0.004,0.004,0.016,0.040,0.006
Gilberto Gil,0.028,0.009,0.034,0.048,0.025
Rita Lee,0.029,0.004,0.035,0.037,0.011
Carlos Lyra,0.038,0.002,0.032,0.046,0.031
Dori Caymmi,0.030,0.007,0.033,0.044,0.019
Cartola,0.048,0.011,0.037,0.052,0.029
Gonzaguinha,0.027,0.017,0.049,0.034,0.021
