,SubV,SubV/II,SubV/III,SubV/IV,SubV/V,SubV/VI
Jazz,0.015,0.005,0.002,0.003,0.014,0.003
Choro,0.001,0.001,0.002,,0.007,0.001
Samba,0.001,0.002,0.002,,0.013,0.003
Tom Jobim,0.020,0.007,0.001,0.003,0.006,0.001
Ivan Lins,0.002,0.006,0.001,0.002,0.008,0.004
Chico Buarque,0.003,0.006,,0.003,0.011,0.001
Edu Lobo,0.016,0.006,0.002,0.005,0.010,0.011
Caetano Veloso,0.005,0.001,0.002,0.003,0.008,0.005
Djavan,0.008,0.003,0.001,0.009,0.013,0.003
João Bosco,0.010,0.007,0.002,0.002,0.005,0.015
Milton Nascimento,0.004,,0.001,,0.001,
Gilberto Gil,0.006,0.007,0.002,0.005,0.018,0.003
Rita Lee,,0.002,,0.003,0.005,0.005
Carlos Lyra,0.009,0.003,,,0.008,0.003
Dori Caymmmi,0.001,,,0.005,0.008,0.008
Cartola,,,0.002,0.001,0.004,0.001
Gonzaguinha,0.007,0.005,,0.001,0.004,0.012
