,I,V,II,II__X,IV,VI,V/II,V/IV,V/V,III,V/VI,bVII7,V/III,IVm7,IV7,SubV,SubV/V,II∅,Vm7,?,bIII°,SubV/II,bIIM7,Im7,V°/II,bIIIm7,SubV/IV,SubV/VI,VIIm7,bVIIM7,bVIM7,V°/III,bVIm7,SubV/III,bIIIM7,I°,#IV∅,V°/V,IIIM7,bIIm7,V°,aSubV/IV,IV° [aux],Np/IV,Np/II,VIM7,aSubV/VI,V°/IV,V°/VI,VII,bVII°,bVIIm7,aSubV,bVM7,V° [pass],aNP/IV,aNP,III∅,Np/V,aNP/VI,aSubV/II,Np/VI,V/bVI,V/bVII,aSubV/III,V/bIII,V/bII,aSubV/V,aNP/V
Jazz,0.198,0.161,0.136,0.081,0.047,0.041,0.037,0.035,0.031,0.026,0.020,0.018,0.018,0.016,0.015,0.015,0.014,0.012,0.009,0.007,0.006,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,,,,,,,,,,,,,,,,,,,,,
Choro,0.278,0.209,0.080,0.003,0.064,0.031,0.053,0.045,0.066,0.017,0.035,0.001,0.019,0.019,0.003,0.001,0.007,,0.013,0.004,0.006,0.001,0.006,,0.003,,,0.001,,0.003,0.005,0.014,,0.002,0.002,0.000,,0.009,,,,,,,,,,0.002,0.001,0.000,,,,,,,,,,,,,,,,,,,
Samba,0.285,0.284,0.112,0.012,0.060,0.013,0.060,0.048,0.027,0.014,0.012,0.001,0.009,0.008,,0.001,0.013,0.000,0.000,,0.006,0.002,0.005,,0.004,,,0.003,,,,0.001,,0.002,,0.003,0.001,0.008,,,,,,,,,,0.001,0.000,0.006,0.001,,,,,,,,,,,,,,,,,,
Tom Jobim,0.203,0.117,0.092,0.048,0.055,0.028,0.052,0.029,0.056,0.024,0.031,0.011,0.016,0.038,0.028,0.020,0.006,0.003,0.015,0.005,0.011,0.007,0.011,0.010,0.005,0.001,0.003,0.001,0.001,0.013,0.007,0.006,0.005,0.001,0.003,0.003,0.003,0.007,0.002,0.001,0.005,0.002,,0.001,,0.001,,0.001,0.003,,,0.004,0.001,0.001,0.000,0.000,,,,,,,,,,,,,
Ivan Lins,0.209,0.172,0.070,0.059,0.070,0.074,0.042,0.038,0.055,0.018,0.038,0.022,0.018,0.016,0.011,0.002,0.008,0.002,0.019,0.004,0.000,0.006,0.006,0.004,0.000,,0.002,0.004,0.001,0.009,0.004,,0.001,0.001,0.002,,0.001,0.001,,0.000,0.000,0.001,,,0.000,0.002,,0.001,0.000,,,0.002,0.000,,,0.000,0.001,0.000,,,,,,,,,,,
Chico Buarque,0.185,0.168,0.065,0.062,0.043,0.046,0.057,0.047,0.053,0.023,0.039,0.001,0.035,0.031,0.017,0.003,0.011,0.003,0.012,0.008,0.004,0.006,0.007,0.005,0.001,0.004,0.003,0.001,0.003,0.006,0.005,0.003,0.003,,0.001,0.001,0.002,0.008,0.001,0.001,0.009,0.003,,,,,,0.002,0.001,,,0.008,0.003,,,,,,0.001,0.001,,,,,,,,,
Edu Lobo,0.228,0.158,0.076,0.034,0.057,0.050,0.034,0.032,0.046,0.026,0.026,0.011,0.013,0.009,0.018,0.016,0.010,0.002,0.030,0.007,0.007,0.006,0.013,0.007,,0.005,0.005,0.011,0.001,0.006,0.002,0.005,0.007,0.002,0.002,0.002,0.005,0.002,0.004,0.001,0.006,0.001,0.001,,,,,,0.001,0.002,0.002,0.003,0.002,,,,,,0.009,,0.001,0.001,,,,,,,
Caetano Veloso,0.233,0.182,0.090,0.066,0.092,0.044,0.040,0.031,0.040,0.014,0.025,0.011,0.007,0.010,0.006,0.005,0.008,0.002,0.005,0.004,0.010,0.001,0.002,0.001,,,0.003,0.005,0.001,0.014,0.016,0.001,0.001,0.002,0.003,0.001,0.002,0.006,,,0.003,0.001,,0.001,0.001,,,,0.001,,,0.001,,,,,,,0.001,0.001,,0.001,0.001,0.001,0.001,0.001,,,
Djavan,0.197,0.139,0.078,0.066,0.063,0.049,0.052,0.018,0.047,0.033,0.021,0.014,0.008,0.026,0.029,0.008,0.013,0.002,0.011,0.015,0.009,0.003,0.005,0.005,0.001,0.006,0.009,0.003,,0.007,0.009,0.006,0.003,0.001,0.007,0.001,0.005,0.001,,,0.006,0.001,,,0.001,0.001,,0.001,0.002,0.002,,,0.002,0.001,,,,0.001,,,,0.001,0.001,0.003,,0.005,0.002,0.001,
João Bosco,0.243,0.137,0.082,0.037,0.064,0.059,0.062,0.033,0.044,0.024,0.034,0.011,0.012,0.018,0.021,0.010,0.005,0.001,0.010,0.007,0.002,0.007,0.004,0.007,0.002,0.001,0.002,0.015,0.003,0.001,0.002,0.002,0.006,0.002,,0.002,0.003,0.007,,,0.007,,,,,,,0.001,,,,0.005,0.001,,,,,,0.001,,0.001,0.001,0.001,,,,,,
Milton Nascimento,0.354,0.111,0.034,0.008,0.095,0.066,0.004,0.016,0.040,0.029,0.006,0.009,0.004,0.011,0.021,0.004,0.001,0.001,0.027,0.034,,,0.019,0.010,,0.010,,,0.007,0.042,0.001,0.001,0.004,0.001,0.006,,0.001,,,0.004,0.001,0.001,,0.001,,,,,0.002,,,0.009,0.001,,,,0.001,,0.003,,,0.001,,,,0.001,,,
Gilberto Gil,0.245,0.161,0.057,0.056,0.079,0.034,0.028,0.034,0.048,0.017,0.025,0.012,0.009,0.011,0.040,0.006,0.018,0.001,0.025,0.009,0.001,0.007,0.002,0.001,,0.001,0.005,0.003,0.001,0.024,0.002,0.002,0.001,0.002,0.002,0.004,,0.001,0.002,,0.001,0.002,,,,0.002,0.001,,0.004,0.001,,0.001,0.001,,0.001,,,,,0.001,,0.001,0.002,0.001,,0.002,0.001,0.001,0.001
Rita Lee,0.247,0.211,0.073,0.026,0.102,0.044,0.029,0.035,0.037,0.020,0.011,0.011,0.004,0.016,0.055,,0.005,,0.007,0.005,0.002,0.002,0.003,0.002,,0.001,0.003,0.005,,0.016,0.005,0.002,,,0.005,0.002,0.002,0.001,,,0.006,0.002,,,,,,,,,,0.001,,,,,,,,,,,,0.002,,0.002,,,0.002
Carlos Lyra,0.213,0.155,0.115,0.073,0.036,0.040,0.038,0.032,0.046,0.019,0.033,0.014,0.002,0.022,0.025,0.009,0.008,,0.006,0.007,0.014,0.003,0.004,0.004,0.010,0.005,,0.003,,,0.009,0.007,0.004,,,0.003,0.007,0.002,,,0.004,0.004,,,,,,0.003,,0.001,,0.004,0.005,,,,,,,,,,0.006,,,0.001,0.001,,
Dori Caymmi,0.255,0.215,0.057,0.012,0.083,0.055,0.030,0.033,0.044,0.020,0.019,0.004,0.007,0.024,0.016,0.001,0.008,0.002,0.018,0.014,,,0.008,0.003,,,0.005,0.008,0.002,0.014,,,0.003,,0.002,,0.013,,,0.003,0.007,,,,,,,0.001,0.002,0.001,,0.003,0.001,,,,,,0.007,,,,,0.001,,,0.004,,0.001
Cartola,0.197,0.200,0.147,0.074,0.047,0.055,0.047,0.036,0.052,0.024,0.029,,0.011,0.017,0.001,,0.004,,,0.002,0.029,,,,0.010,,0.001,0.001,,,,0.002,,0.002,,,0.002,0.002,,,,,,,,,,,0.002,,,0.001,,,,,,,,,,,,,,,,,
Gonzaguinha,0.204,0.164,0.091,0.071,0.097,0.051,0.027,0.049,0.034,0.045,0.021,0.003,0.017,0.015,0.011,0.007,0.004,,0.018,0.004,0.002,0.005,0.007,0.001,,0.004,0.001,0.012,0.004,0.003,0.002,,0.002,,0.002,,,,,0.001,0.002,0.002,,,,,,,,,,0.011,,,,,,,,,,0.003,,,,,,,
