,DIA|DIA,CR|DIA,DIA|CR,CR|CR
Jazz,0.379,0.214,0.208,0.200
Choro,0.390,0.265,0.264,0.081
Samba,0.514,0.211,0.211,0.065
Tom Jobim,0.231,0.268,0.270,0.231
Ivan Lins,0.383,0.207,0.209,0.201
Chico Buarque,0.270,0.241,0.240,0.249
Edu Lobo,0.290,0.269,0.267,0.174
Caetano Veloso,0.443,0.197,0.197,0.163
Djavan,0.294,0.241,0.241,0.224
João Bosco,0.347,0.214,0.214,0.224
Milton Nascimento,0.383,0.256,0.258,0.103
Gilberto Gil,0.343,0.239,0.235,0.183
Rita Lee,0.466,0.218,0.222,0.094
Carlos Lyra,0.318,0.239,0.240,0.203
Dori Caymmi,0.458,0.216,0.215,0.112
Cartola,0.423,0.233,0.226,0.118
Gonzaguinha,0.417,0.208,0.214,0.160
