,DIA|DIA-dist,CR|DIA-dist,DIA|CR-dist,CR|CR-dist,DIA|CR-unique-count,CR|DIA-unique-count,CR|CR-unique-count,DIA|DIA-unique-count
Jazz,0.379,0.214,0.208,0.2,90,71,94,25
Choro,0.39,0.265,0.264,0.081,95,57,89,28
Samba,0.514,0.211,0.211,0.065,69,33,32,28
Tom Jobim,0.231,0.268,0.27,0.231,114,105,161,29
Ivan Lins,0.383,0.207,0.209,0.201,89,67,109,30
Chico Buarque,0.27,0.241,0.24,0.249,96,81,112,23
Edu Lobo,0.29,0.269,0.267,0.174,111,92,119,28
Caetano Veloso,0.443,0.197,0.197,0.163,72,64,62,25
Djavan,0.294,0.241,0.241,0.224,91,87,111,32
João Bosco,0.347,0.214,0.214,0.224,87,70,103,29
Milton Nascimento,0.383,0.256,0.258,0.103,78,77,73,30
Gilberto Gil,0.343,0.239,0.235,0.183,83,68,98,29
Rita Lee,0.466,0.218,0.222,0.094,69,57,51,27
Carlos Lyra,0.318,0.239,0.24,0.203,66,51,64,21
Dori Caymmi,0.458,0.216,0.215,0.112,68,63,53,30
Cartola,0.423,0.233,0.226,0.118,42,21,24,22
Gonzaguinha,0.417,0.208,0.214,0.16,59,50,46,28
