,tríade,tétrade,tensão simples,tensão alterada,inflexão
Jazz,0.485,0.138,0.164,0.052,0.161
Choro,0.643,0.069,0.025,0.026,0.236
Samba,0.576,0.117,0.067,0.031,0.210
Tom Jobim,0.394,0.176,0.144,0.088,0.199
Ivan Lins,0.515,0.111,0.167,0.030,0.178
Chico Buarque,0.539,0.126,0.105,0.037,0.193
Edu Lobo,0.464,0.142,0.119,0.079,0.197
Caetano Veloso,0.560,0.105,0.089,0.029,0.217
Djavan,0.473,0.153,0.146,0.048,0.180
João Bosco,0.505,0.134,0.100,0.031,0.230
Milton Nascimento,0.508,0.138,0.130,0.032,0.192
Gilberto Gil,0.564,0.113,0.097,0.031,0.196
Rita Lee,0.562,0.117,0.080,0.019,0.222
Carlos Lyra,0.490,0.124,0.117,0.047,0.221
Dori Caymmmi,0.580,0.115,0.095,0.025,0.185
Cartola,0.503,0.125,0.102,0.035,0.234
Gonzaguinha,0.540,0.096,0.091,0.027,0.246
