,u,P/p,A/a,S/s
Jazz,0.115,0.527,0.277,0.081
Choro,0.051,0.502,0.351,0.096
Samba,0.245,0.472,0.241,0.043
Tom Jobim,0.166,0.584,0.207,0.043
Ivan Lins,0.253,0.470,0.183,0.093
Chico Buarque,0.241,0.517,0.195,0.047
Edu Lobo,0.200,0.490,0.255,0.055
Caetano Veloso,0.177,0.522,0.270,0.032
Djavan,0.194,0.453,0.293,0.060
João Bosco,0.254,0.483,0.206,0.057
Milton Nascimento,0.397,0.422,0.149,0.032
Gilberto Gil,0.224,0.473,0.278,0.024
Rita Lee,0.299,0.473,0.195,0.033
Carlos Lyra,0.150,0.556,0.247,0.047
Dori Caymmi,0.236,0.507,0.212,0.045
Cartola,0.221,0.549,0.188,0.042
Gonzaguinha,0.227,0.523,0.221,0.029
