,c,e,g,m,n,p,u,total
Jazz,,0.144,0.001,,,0.007,,0.152
Choro,0.001,0.032,0.026,0.001,0.063,0.022,0.083,0.228
Samba,0.057,0.047,0.071,0.006,0.286,0.024,0.013,0.504
Tom Jobim,0.025,0.047,0.058,0.001,0.133,0.041,0.030,0.336
Ivan Lins,0.010,0.114,0.016,0.012,0.035,0.026,0.013,0.225
Chico Buarque,0.032,0.100,0.041,0.012,0.154,0.024,0.023,0.385
Edu Lobo,0.003,0.112,0.031,0.005,0.039,0.013,0.020,0.222
Caetano Veloso,0.016,0.116,0.038,0.014,0.029,0.021,0.021,0.255
Djavan,0.046,0.097,0.073,0.021,0.104,0.038,0.031,0.409
João Bosco,0.040,0.077,0.066,0.006,0.151,0.012,0.016,0.368
Milton Nascimento,0.002,0.185,0.013,0.005,0.013,0.005,0.001,0.223
Gilberto Gil,0.024,0.062,0.065,0.013,0.143,0.028,0.015,0.351
Rita Lee,0.003,0.271,0.005,0.001,0.004,0.005,0.008,0.298
Carlos Lyra,0.037,0.062,0.082,0.004,0.202,0.030,.026,0.442
Dori Caymmmi,0.016,0.144,0.019,0.017,0.086,0.016,0.004,0.301
Cartola,0.023,0.103,0.062,,0.228,0.008,0.012,0.435
Gonzaguinha,0.016,0.119,0.047,0.002,0.128,0.016,0.014,0.343
