,d,f,i,k,o,s,total
Jazz,0.020,0.004,,0.017,0.004,0.014,0.059
Choro,0.000,,,0.000,0.001,0.017,0.018
Samba,,0.000,0.000,,0.001,0.010,0.012
Tom Jobim,0.042,0.014,0.001,0.032,0.020,0.062,0.170
Ivan Lins,0.076,0.015,0.002,0.066,0.036,0.053,0.249
Chico Buarque,0.019,0.003,0.001,0.017,0.018,0.022,0.079
Edu Lobo,0.030,0.005,,0.025,0.023,0.041,0.124
Caetano Veloso,0.037,0.007,0.002,0.029,0.006,0.039,0.118
Djavan,0.011,0.008,0.007,0.008,0.023,0.039,0.097
João Bosco,0.041,0.013,0.003,0.038,0.025,0.040,0.161
Milton Nascimento,0.018,0.014,0.014,0.017,0.030,0.026,0.118
Gilberto Gil,0.027,0.013,,0.044,0.005,0.006,0.095
Rita Lee,0.013,0.002,,0.011,0.001,0.004,0.030
Carlos Lyra,0.028,0.009,,0.021,0.021,0.037,0.115
Dori Caymmmi,0.034,0.001,,0.033,0.010,0.044,0.123
Cartola,0.060,0.017,,0.043,0.013,0.044,0.176
Gonzaguinha,0.042,0.008,0.003,0.046,0.024,0.042,0.166
